# time = 5hr, gpu = 1
cuda
torch.Size([5400, 3, 128, 128])
4320
1080
Epoch [234/2000], Loss: 1080.2543
Epoch [235/2000], Loss: 1080.9629
Epoch [236/2000], Loss: 1079.4673
Epoch [237/2000], Loss: 1077.9001
Epoch [238/2000], Loss: 1077.9066
Epoch [239/2000], Loss: 1077.1378
Epoch [240/2000], Loss: 1076.4352
Epoch [241/2000], Loss: 1076.3756
Epoch [242/2000], Loss: 1077.5171
Epoch [243/2000], Loss: 1077.4724
Epoch [244/2000], Loss: 1077.7714
Epoch [245/2000], Loss: 1076.8495
Epoch [246/2000], Loss: 1076.2260
Epoch [247/2000], Loss: 1075.9780
Epoch [248/2000], Loss: 1078.5675
Epoch [249/2000], Loss: 1078.1340
Epoch [250/2000], Loss: 1076.4914
Epoch [251/2000], Loss: 1077.1510
Epoch [252/2000], Loss: 1074.8605
Epoch [253/2000], Loss: 1074.2513
Epoch [254/2000], Loss: 1074.4872
Epoch [255/2000], Loss: 1073.7295
Epoch [256/2000], Loss: 1074.4367
Epoch [257/2000], Loss: 1073.8909
Epoch [258/2000], Loss: 1074.0569
Epoch [259/2000], Loss: 1074.2300
Epoch [260/2000], Loss: 1073.9888
Epoch [261/2000], Loss: 1073.2876
Epoch [262/2000], Loss: 1072.7570
Epoch [263/2000], Loss: 1073.2041
Epoch [264/2000], Loss: 1074.6679
Epoch [265/2000], Loss: 1073.9004
Epoch [266/2000], Loss: 1073.0569
Epoch [267/2000], Loss: 1072.7922
Epoch [268/2000], Loss: 1072.5265
Epoch [269/2000], Loss: 1071.6403
Epoch [270/2000], Loss: 1072.1887
Epoch [271/2000], Loss: 1072.4857
Epoch [272/2000], Loss: 1071.7154
Epoch [273/2000], Loss: 1071.4868
Epoch [274/2000], Loss: 1071.6075
Epoch [275/2000], Loss: 1071.4148
Epoch [276/2000], Loss: 1071.2135
Epoch [277/2000], Loss: 1070.4626
Epoch [278/2000], Loss: 1069.9776
Epoch [279/2000], Loss: 1070.9101
Epoch [280/2000], Loss: 1070.2197
Epoch [281/2000], Loss: 1070.4381
Epoch [282/2000], Loss: 1069.0489
Epoch [283/2000], Loss: 1069.1774
Epoch [284/2000], Loss: 1069.4735
Epoch [285/2000], Loss: 1071.1902
Epoch [286/2000], Loss: 1070.7471
Epoch [287/2000], Loss: 1070.2808
Epoch [288/2000], Loss: 1069.0356
Epoch [289/2000], Loss: 1070.1084
Epoch [290/2000], Loss: 1068.7978
Epoch [291/2000], Loss: 1067.0953
Epoch [292/2000], Loss: 1066.4783
Epoch [293/2000], Loss: 1067.2956
Epoch [294/2000], Loss: 1067.4031
Epoch [295/2000], Loss: 1066.9230
Epoch [296/2000], Loss: 1068.2131
Epoch [297/2000], Loss: 1068.4133
Epoch [298/2000], Loss: 1067.4581
Epoch [299/2000], Loss: 1067.0790
Epoch [300/2000], Loss: 1067.0488
Epoch [301/2000], Loss: 1067.1803
Epoch [302/2000], Loss: 1067.1240
Epoch [303/2000], Loss: 1066.6242
Epoch [304/2000], Loss: 1065.8043
Epoch [305/2000], Loss: 1066.1047
Epoch [306/2000], Loss: 1067.3678
Epoch [307/2000], Loss: 1065.9444
Epoch [308/2000], Loss: 1065.1221
Epoch [309/2000], Loss: 1066.6336
Epoch [310/2000], Loss: 1065.9306
Epoch [311/2000], Loss: 1066.0457
Epoch [312/2000], Loss: 1065.6398
Epoch [313/2000], Loss: 1064.7020
Epoch [314/2000], Loss: 1065.8238
Epoch [315/2000], Loss: 1064.9599
Epoch [316/2000], Loss: 1063.2287
Epoch [317/2000], Loss: 1063.8713
Epoch [318/2000], Loss: 1064.4298
Epoch [319/2000], Loss: 1066.0014
Epoch [320/2000], Loss: 1066.0578
Epoch [321/2000], Loss: 1063.8601
Epoch [322/2000], Loss: 1063.2661
Epoch [323/2000], Loss: 1063.9327
Epoch [324/2000], Loss: 1064.0192
Epoch [325/2000], Loss: 1063.0989
Epoch [326/2000], Loss: 1062.7868
Epoch [327/2000], Loss: 1062.7738
Epoch [328/2000], Loss: 1062.8969
Epoch [329/2000], Loss: 1062.4468
Epoch [330/2000], Loss: 1062.5187
Epoch [331/2000], Loss: 1062.5457
Epoch [332/2000], Loss: 1062.8857
Epoch [333/2000], Loss: 1062.0966
Epoch [334/2000], Loss: 1061.9154
Epoch [335/2000], Loss: 1062.1849
Epoch [336/2000], Loss: 1062.6129
Epoch [337/2000], Loss: 1062.1692
Epoch [338/2000], Loss: 1062.7699
Epoch [339/2000], Loss: 1062.2649
Epoch [340/2000], Loss: 1062.0657
Epoch [341/2000], Loss: 1061.8743
Epoch [342/2000], Loss: 1062.1905
Epoch [343/2000], Loss: 1060.5048
Epoch [344/2000], Loss: 1060.1747
Epoch [345/2000], Loss: 1060.1176
Epoch [346/2000], Loss: 1061.4206
Epoch [347/2000], Loss: 1062.1214
Epoch [348/2000], Loss: 1061.7162
Epoch [349/2000], Loss: 1061.5168
Epoch [350/2000], Loss: 1060.7166
Epoch [351/2000], Loss: 1059.6427
Epoch [352/2000], Loss: 1058.6960
Epoch [353/2000], Loss: 1058.9141
Epoch [354/2000], Loss: 1059.3535
Epoch [355/2000], Loss: 1060.8894
Epoch [356/2000], Loss: 1061.3681
Epoch [357/2000], Loss: 1062.1412
Epoch [358/2000], Loss: 1060.4336
Epoch [359/2000], Loss: 1059.0357
Epoch [360/2000], Loss: 1058.0362
Epoch [361/2000], Loss: 1057.8376
Epoch [362/2000], Loss: 1057.9615
Epoch [363/2000], Loss: 1058.1031
Epoch [364/2000], Loss: 1059.9533
Epoch [365/2000], Loss: 1060.4965
Epoch [366/2000], Loss: 1058.6117
Epoch [367/2000], Loss: 1058.7496
Epoch [368/2000], Loss: 1058.2809
Epoch [369/2000], Loss: 1057.9951
Epoch [370/2000], Loss: 1057.7769
Epoch [371/2000], Loss: 1057.3572
Epoch [372/2000], Loss: 1057.7930
Epoch [373/2000], Loss: 1058.4031
Epoch [374/2000], Loss: 1058.2503
Epoch [375/2000], Loss: 1057.7968
Epoch [376/2000], Loss: 1057.3754
Epoch [377/2000], Loss: 1057.3993
Epoch [378/2000], Loss: 1058.1324
Epoch [379/2000], Loss: 1057.8023
Epoch [380/2000], Loss: 1056.9553
Epoch [381/2000], Loss: 1057.2479
Epoch [382/2000], Loss: 1057.1335
Epoch [383/2000], Loss: 1056.1159
Epoch [384/2000], Loss: 1056.9267
Epoch [385/2000], Loss: 1056.9701
Epoch [386/2000], Loss: 1056.7277
Epoch [387/2000], Loss: 1055.5766
Epoch [388/2000], Loss: 1055.0227
Epoch [389/2000], Loss: 1055.3183
Epoch [390/2000], Loss: 1055.2866
Epoch [391/2000], Loss: 1056.0768
Epoch [392/2000], Loss: 1055.4092
